year,lon,lat,palace,palace_name,palace_wx,dst_wx,k,sigma,TMAX,TMIN,DTR,TMAX_std,n_days
1880,110.0,22.5,9,离(南),1,4,2,3,-0.7711471077435836,0.8952374911357016,-1.5954730324519297,1.5590008743484605,97
1880,112.5,22.5,9,离(南),1,4,2,3,-0.8182967280549994,0.8978083583880918,-1.682223309313204,1.1432203924480742,97
1880,107.5,25.0,2,坤(西南),2,4,2,4,-0.8101018321446652,0.9653642096819268,-1.7807321593705252,1.3699137713400802,97
1880,110.0,25.0,2,坤(西南),2,4,2,4,-0.8418039373341064,0.9967763012273537,-1.8886417664805135,1.2101541658312533,97
1880,112.5,25.0,4,巽(东南),0,4,2,2,-0.9294686042777615,0.8311992858594348,-1.793668489638679,1.5740497955442283,246
1880,115.0,25.0,4,巽(东南),0,4,2,2,-0.8193532860782241,0.7490147008065985,-1.5683679868848224,1.6767520875945239,303
1880,117.5,25.0,4,巽(东南),0,4,2,2,-0.7330502044154734,0.6409275885621862,-1.3739777929776593,1.7025502004398478,303
1880,110.0,27.5,2,坤(西南),2,4,2,4,-0.989411231312292,1.2485261295632002,-2.567284062437873,2.117161715794671,97
1880,112.5,27.5,4,巽(东南),0,4,2,2,-0.8548717240438357,1.0340659205808254,-1.888937644624661,2.4835275525115237,303
1880,115.0,27.5,4,巽(东南),0,4,2,2,-0.7564553234342714,0.9299826907781382,-1.6864380142124094,2.349754492128661,303
1880,117.5,27.5,4,巽(东南),0,4,2,2,-0.572610541613148,0.6565825329795824,-1.2966275743180726,2.162142487896468,290
1880,120.0,27.5,5,中(中原),2,4,2,4,-0.43161268364319694,0.3323486656442312,-0.7875919328967654,2.313765447263056,290
1880,110.0,30.0,2,坤(西南),2,4,2,4,-0.9631467219410091,1.2029343120266622,-2.323624487022981,3.090160109382762,246
1880,112.5,30.0,4,巽(东南),0,4,2,2,-0.8476400657583084,1.2850112748528775,-2.2904347619255305,3.252954131816903,290
1880,115.0,30.0,4,巽(东南),0,4,2,2,-0.7817733746462582,1.1737790929209682,-2.0984997127656464,3.166355437265562,290
1880,117.5,30.0,4,巽(东南),0,4,2,2,-0.5185202653785446,0.6584164397979226,-1.2491310244227192,2.6777087913479107,290
1880,120.0,30.0,5,中(中原),2,4,2,4,-0.2886252972115532,0.24985728903091142,-0.5542219975496154,2.722622253687013,290
1880,112.5,32.5,4,巽(东南),0,4,2,2,-0.6509642354108007,0.8754479851376522,-1.5148833393055912,3.160994146075201,303
1880,115.0,32.5,4,巽(东南),0,4,2,2,-0.6223365245958419,0.7731603493516535,-1.3831365527143606,2.9942233929039896,303
1880,117.5,32.5,4,巽(东南),0,4,2,2,-0.48361492440842174,0.3571552627108947,-0.8268674345134426,2.6707133946547756,303
1880,120.0,32.5,5,中(中原),2,4,2,4,-0.44539894968976074,-0.13149237001033817,-0.29919565336367,2.7466567264706665,303
1880,112.5,35.0,4,巽(东南),0,4,2,2,-0.28043979106899586,0.2929814636354802,-0.5621937792729718,2.6267894584838567,303
1880,115.0,35.0,4,巽(东南),0,4,2,2,-0.2205240250240703,0.14758263566050303,-0.3560970746830282,2.462058164598417,303
1880,117.5,35.0,4,巽(东南),0,4,2,2,-0.1818690050200321,-0.0907387492831139,-0.07810097030547497,2.3413966839833735,303
1880,115.0,37.5,3,震(东),0,4,2,2,0.2827918852935681,-0.45820450004534835,0.7530826694306229,2.950697589852151,303
1880,117.5,37.5,3,震(东),0,4,2,2,0.27764357583406046,-0.514512184970542,0.8045765911024199,2.8908277820374497,303
1881,110.0,22.5,9,离(南),1,4,2,3,-1.0243079939116821,1.1046784152223867,-2.1891854502110353,3.2778554421958055,199
1881,112.5,22.5,9,离(南),1,4,2,3,-0.6424755298990285,1.2838697828402656,-1.9718821550663206,2.6181757888946833,199
1881,107.5,25.0,2,坤(西南),2,4,2,4,-0.9808301597701928,1.0450589632244909,-2.0830042666733752,3.1779405158024487,199
1881,110.0,25.0,2,坤(西南),2,4,2,4,-0.8428214341739464,1.0748949442389797,-1.968914669143758,2.9324297158938095,199
1881,112.5,25.0,4,巽(东南),0,4,2,2,-0.5571919709886124,1.3628532571145526,-1.920045228103165,2.3521734054122923,347
1881,115.0,25.0,4,巽(东南),0,4,2,2,-0.3404872782870539,1.4746117055375552,-1.8150989838246085,2.1029974358350993,361
1881,117.5,25.0,4,巽(东南),0,4,2,2,-0.24968572355578758,1.490494134742035,-1.7401798582978227,2.0796130844116587,361
1881,110.0,27.5,2,坤(西南),2,4,2,4,-0.7299779244077679,1.0373607125195674,-1.7724682930376652,2.8964790052129232,326
1881,112.5,27.5,4,巽(东南),0,4,2,2,-0.5814153540106041,1.1440064903706335,-1.7254218443812375,2.7457911748063446,361
1881,115.0,27.5,4,巽(东南),0,4,2,2,-0.5064639616809521,1.1891820920249827,-1.6956460537059348,2.5947099487799243,361
1881,117.5,27.5,4,巽(东南),0,4,2,2,-0.43339620702423354,1.2204595350728034,-1.6538557420970368,2.506170860029759,361
1881,120.0,27.5,5,中(中原),2,4,2,4,-0.35799907300540346,1.1364774910590438,-1.4944765640644475,2.6230607399868906,361
1881,110.0,30.0,2,坤(西南),2,4,2,4,-0.6810059802308533,1.0142420984644633,-1.6952480786953166,3.2417425426008095,347
1881,112.5,30.0,4,巽(东南),0,4,2,2,-0.62335961177687,0.9823093789620426,-1.6056689907389126,3.3250468850355706,361
1881,115.0,30.0,4,巽(东南),0,4,2,2,-0.6538777734849222,0.9866554601015519,-1.640533233586474,3.3048294935475133,361
1881,117.5,30.0,4,巽(东南),0,4,2,2,-0.7236771663441418,1.1187002672671835,-1.8423774336113252,2.9765019041329714,361
1881,120.0,30.0,5,中(中原),2,4,2,4,-0.4945355191003599,1.068589935322474,-1.563125454422834,2.9768416965125524,361
1881,110.0,32.5,2,坤(西南),2,4,2,4,-0.6756674726476065,0.9012562013027252,-1.6504812992517215,3.701511936290667,302
1881,112.5,32.5,4,巽(东南),0,4,2,2,-0.6538577457355441,0.8273843623385838,-1.4812421080741283,3.210914935049532,365
1881,115.0,32.5,4,巽(东南),0,4,2,2,-0.824923228252554,0.9731222206324356,-1.798045448884989,3.1253892329449395,365
1881,117.5,32.5,4,巽(东南),0,4,2,2,-1.0914712722727589,1.1717051040127264,-2.2631763762854855,2.932889461872657,365
1881,120.0,32.5,5,中(中原),2,4,2,4,-0.9918900002709348,1.0857313703464517,-2.0776213706173863,2.8939219635412607,365
1881,110.0,35.0,2,坤(西南),2,4,2,4,-0.4580767243144035,0.41247041840175314,-0.8855404270473651,2.972350128592982,323
1881,112.5,35.0,4,巽(东南),0,4,2,2,-0.43633915900159004,0.49353367647316493,-0.9298728354747549,2.6837977065805,365
1881,115.0,35.0,4,巽(东南),0,4,2,2,-0.564228889639032,0.5909787077451565,-1.1552075973841884,2.561226963128771,365
1881,117.5,35.0,4,巽(东南),0,4,2,2,-0.7199024861007539,0.7226611474127869,-1.4425636335135408,2.485243303871799,365
1881,127.5,35.0,7,兑(西),3,4,2,0,-0.6113233874465838,0.8159595886083669,-1.4676355743185208,3.05452295723945,328
1881,112.5,37.5,3,震(东),0,4,2,2,-0.0378594066207477,-0.17995855244733033,0.13472375793970676,2.980176498831079,323
1881,115.0,37.5,3,震(东),0,4,2,2,0.03130382555277235,-0.14064302776195872,0.1719468533147311,2.825484049030816,365
1881,117.5,37.5,3,震(东),0,4,2,2,-0.03756075626384789,-0.07067629413505215,0.03311553787120426,2.72721427863673,365
1881,127.5,37.5,6,乾(西北),3,4,2,0,-0.4961372862633488,0.3411099415404874,-0.8644074920331889,2.486557439789572,359
1881,122.5,40.0,8,艮(东北),2,4,2,4,0.07698858867358989,-0.26717301671740856,0.32804103071607066,2.9447956130325075,359
1882,107.5,22.5,9,离(南),1,4,2,3,-1.0793842887012273,0.8640688843342212,-2.1013687387017974,2.879555233168747,145
1882,110.0,22.5,9,离(南),1,4,2,3,-1.0099112557381043,1.3883304185284675,-2.4550164901724556,3.0934989201231797,317
1882,112.5,22.5,9,离(南),1,4,2,3,-0.8670173900877928,1.4153711212866464,-2.32799212238847,2.4196723926141512,317
1882,107.5,25.0,2,坤(西南),2,4,2,4,-0.8719426367685508,1.3143744963838147,-2.2278894317166746,2.813762681822081,317
1882,110.0,25.0,2,坤(西南),2,4,2,4,-0.8499513753137186,1.3040419071130966,-2.188640325484421,2.5504168960117957,317
1882,112.5,25.0,4,巽(东南),0,4,2,2,-0.7259593466659519,1.3578588469609887,-2.08381819362694,2.1498624952862735,364
1882,115.0,25.0,4,巽(东南),0,4,2,2,-0.6050389506333923,1.300633539073962,-1.905672489707354,1.8627098137123328,364
1882,117.5,25.0,4,巽(东南),0,4,2,2,-0.4511953842497489,1.2367582098899412,-1.68795359413969,1.911692236976293,364
1882,105.0,27.5,2,坤(西南),2,4,2,4,-0.5189204390801556,0.812584965396328,-1.3926834589329136,2.430522316909172,160
1882,107.5,27.5,2,坤(西南),2,4,2,4,-0.4498561247439879,0.8308487041712816,-1.3279749884190135,2.477651884421502,160
1882,110.0,27.5,2,坤(西南),2,4,2,4,-0.6460693704732765,1.091902498227694,-1.7389436142652865,2.5014849667830132,360
